,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,12.0,3.0,5.0,0.0,6.0,0.0,1.0,1.0,3.0,4.0,5.0,3.0,0.0,7.0,4.0,1.0,2.0,0.0,2.0,4.0
1,3.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,8.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0
2,4.0,1.0,8.0,0.0,6.0,0.0,1.0,1.0,3.0,8.0,3.0,4.0,0.0,4.0,3.0,1.0,1.0,0.0,7.0,4.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,2.0,3.0,0.0,8.0,0.0,5.0,5.0,10.0,7.0,2.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,3.0,3.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,2.0,4.0,0.0,4.0,0.0,6.0,1.0,7.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
7,6.0,3.0,2.0,0.0,6.0,0.0,4.0,5.0,2.0,4.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,7.0
8,7.0,2.0,7.0,0.0,7.0,0.0,4.0,0.0,16.0,11.0,4.0,6.0,0.0,10.0,5.0,0.0,2.0,0.0,4.0,5.0
9,7.0,3.0,4.0,0.0,10.0,0.0,5.0,8.0,8.0,15.0,4.0,7.0,0.0,7.0,5.0,1.0,5.0,0.0,2.0,8.0
10,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,3.0,7.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0
11,2.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,6.0,3.0,2.0,10.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3.0,4.0,6.0,0.0,4.0,0.0,6.0,1.0,8.0,6.0,2.0,1.0,0.0,3.0,4.0,3.0,1.0,0.0,1.0,4.0
14,6.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,6.0,6.0,4.0,2.0,0.0,1.0,9.0,2.0,1.0,0.0,6.0,1.0
15,1.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
16,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,6.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,7.0,2.0
19,5.0,1.0,3.0,0.0,7.0,0.0,4.0,4.0,5.0,6.0,1.0,4.0,0.0,3.0,5.0,3.0,2.0,0.0,11.0,11.0
